DATE,DGS6MO
2018-07-13,2.16
2018-07-16,2.19
2018-07-17,2.19
2018-07-18,2.17
2018-07-19,2.16
2018-07-20,2.16
2018-07-23,2.19
2018-07-24,2.19
2018-07-25,2.20
2018-07-26,2.19
2018-07-27,2.20
2018-07-30,2.21
2018-07-31,2.21
2018-08-01,2.22
2018-08-02,2.22
2018-08-03,2.23
2018-08-06,2.23
2018-08-07,2.23
2018-08-08,2.24
2018-08-09,2.25
2018-08-10,2.23
2018-08-13,2.22
2018-08-14,2.25
2018-08-15,2.23
2018-08-16,2.24
2018-08-17,2.24
2018-08-20,2.25
2018-08-21,2.25
2018-08-22,2.24
2018-08-23,2.23
2018-08-24,2.25
2018-08-27,2.25
2018-08-28,2.28
2018-08-29,2.28
2018-08-30,2.28
2018-08-31,2.28
2018-09-03,.
2018-09-04,2.29
2018-09-05,2.30
2018-09-06,2.30
2018-09-07,2.30
2018-09-10,2.32
2018-09-11,2.31
2018-09-12,2.33
2018-09-13,2.33
2018-09-14,2.33
2018-09-17,2.35
2018-09-18,2.36
2018-09-19,2.36
2018-09-20,2.37
2018-09-21,2.38
2018-09-24,2.38
2018-09-25,2.38
2018-09-26,2.37
2018-09-27,2.37
2018-09-28,2.36
2018-10-01,2.40
2018-10-02,2.41
2018-10-03,2.41
2018-10-04,2.42
2018-10-05,2.41
2018-10-08,.
2018-10-09,2.46
2018-10-10,2.45
2018-10-11,2.44
2018-10-12,2.44
2018-10-15,2.47
2018-10-16,2.46
2018-10-17,2.47
2018-10-18,2.47
2018-10-19,2.48
2018-10-22,2.49
2018-10-23,2.48
2018-10-24,2.47
2018-10-25,2.47
2018-10-26,2.47
2018-10-29,2.49
2018-10-30,2.48
2018-10-31,2.49
2018-11-01,2.49
2018-11-02,2.50
2018-11-05,2.51
2018-11-06,2.52
2018-11-07,2.51
2018-11-08,2.52
2018-11-09,2.52
2018-11-12,.
2018-11-13,2.53
2018-11-14,2.52
2018-11-15,2.51
2018-11-16,2.50
2018-11-19,2.52
2018-11-20,2.51
2018-11-21,2.52
2018-11-22,.
2018-11-23,2.52
2018-11-26,2.54
2018-11-27,2.53
2018-11-28,2.53
2018-11-29,2.52
2018-11-30,2.52
2018-12-03,2.56
2018-12-04,2.58
2018-12-05,.
