Date,Open,High,Low,Close,Adj Close,Volume
2014-12-31,207.990005,208.190002,205.389999,205.539993,177.558624,130333800
2015-01-02,206.380005,206.880005,204.179993,205.429993,177.463531,121465900
2015-01-05,204.169998,204.369995,201.350006,201.720001,174.258682,169632600
2015-01-06,202.089996,202.720001,198.860001,199.820007,172.617386,209151400
2015-01-07,201.419998,202.720001,200.880005,202.309998,174.768326,125346700
2015-01-08,204.009995,206.160004,203.990005,205.899994,177.869659,147217800
2015-01-09,206.399994,206.419998,203.509995,204.250000,176.444260,158567300
2015-01-12,204.410004,204.600006,201.919998,202.649994,175.062073,144396100
2015-01-13,204.119995,205.479996,200.509995,202.080002,174.569717,214553300
2015-01-14,199.649994,201.100006,198.570007,200.860001,173.515717,192991100
2015-01-15,201.630005,202.009995,198.880005,199.020004,171.926254,176613900
2015-01-16,198.770004,201.820007,198.550003,201.630005,174.180939,211879600
2015-01-20,202.399994,202.720001,200.169998,202.059998,174.552383,130991100
2015-01-21,201.500000,203.660004,200.940002,203.080002,175.433533,122942700
2015-01-22,203.990005,206.259995,202.330002,206.100006,178.042374,174356000
2015-01-23,205.789993,206.100006,204.809998,204.970001,177.066238,117516800
2015-01-26,204.710007,205.559998,203.850006,205.449997,177.480881,92009700
2015-01-27,202.970001,204.119995,201.740005,202.740005,175.139816,134044600
2015-01-28,204.169998,204.289993,199.910004,200.139999,172.893799,168514300
2015-01-29,200.380005,202.300003,198.679993,201.990005,174.491928,173585400
2015-01-30,200.570007,202.169998,199.130005,199.449997,172.297729,197729700
2015-02-02,200.050003,202.029999,197.860001,201.919998,174.431427,163107000
2015-02-03,203.000000,204.850006,202.550003,204.839996,176.953888,124212900
2015-02-04,203.919998,205.380005,203.509995,204.059998,176.280121,134306700
2015-02-05,204.860001,206.300003,204.770004,206.119995,178.059677,97953200
2015-02-06,206.559998,207.240005,204.919998,205.550003,177.567261,125672000
2015-02-09,204.770004,205.639999,204.139999,204.630005,176.772537,87219000
2015-02-10,205.880005,207.119995,204.679993,206.809998,178.655731,96164200
2015-02-11,206.610001,207.449997,205.830002,206.929993,178.759369,91087800
2015-02-12,207.889999,208.990005,206.970001,208.919998,180.478500,97545900
2015-02-13,209.070007,209.839996,208.759995,209.779999,181.221436,93670400
2015-02-17,209.399994,210.320007,209.100006,210.110001,181.506516,76968200
2015-02-18,209.660004,210.220001,209.339996,210.130005,181.523804,80652900
2015-02-19,209.410004,210.419998,209.240005,209.979996,181.394196,91462500
2015-02-20,209.479996,211.330002,208.729996,211.240005,182.482651,140896400
