DATE,BAMLC0A4CBBBEY
2018-07-13,4.33
2018-07-16,4.34
2018-07-17,4.34
2018-07-18,4.35
2018-07-19,4.32
2018-07-20,4.35
2018-07-23,4.40
2018-07-24,4.37
2018-07-25,4.35
2018-07-26,4.37
2018-07-27,4.35
2018-07-30,4.35
2018-07-31,4.36
2018-08-01,4.39
2018-08-02,4.37
2018-08-03,4.34
2018-08-06,4.33
2018-08-07,4.35
2018-08-08,4.36
2018-08-09,4.34
2018-08-10,4.30
2018-08-13,4.33
2018-08-14,4.34
2018-08-15,4.31
2018-08-16,4.32
2018-08-17,4.31
2018-08-20,4.27
2018-08-21,4.29
2018-08-22,4.28
2018-08-23,4.28
2018-08-24,4.29
2018-08-27,4.31
2018-08-28,4.33
2018-08-29,4.33
2018-08-30,4.32
2018-08-31,4.33
2018-09-03,4.33
2018-09-04,4.38
2018-09-05,4.38
2018-09-06,4.35
2018-09-07,4.41
2018-09-10,4.40
2018-09-11,4.43
2018-09-12,4.41
2018-09-13,4.40
2018-09-14,4.41
2018-09-17,4.41
2018-09-18,4.44
2018-09-19,4.47
2018-09-20,4.44
2018-09-21,4.43
2018-09-24,4.44
2018-09-25,4.45
2018-09-26,4.42
2018-09-27,4.41
2018-09-28,4.40
2018-09-30,4.43
2018-10-01,4.45
2018-10-02,4.43
2018-10-03,4.50
2018-10-04,4.54
2018-10-05,4.57
2018-10-08,4.57
2018-10-09,4.56
2018-10-10,4.57
2018-10-11,4.53
2018-10-12,4.54
2018-10-15,4.55
2018-10-16,4.55
2018-10-17,4.57
2018-10-18,4.58
2018-10-19,4.61
2018-10-22,4.61
2018-10-23,4.61
2018-10-24,4.57
2018-10-25,4.60
2018-10-26,4.57
2018-10-29,4.58
2018-10-30,4.62
2018-10-31,4.68
2018-11-01,4.67
2018-11-02,4.72
2018-11-05,4.71
2018-11-06,4.71
2018-11-07,4.70
2018-11-08,4.71
2018-11-09,4.69
2018-11-12,4.69
2018-11-13,4.69
2018-11-14,4.69
2018-11-15,4.73
2018-11-16,4.71
2018-11-19,4.71
2018-11-20,4.75
2018-11-21,4.76
2018-11-22,4.76
2018-11-23,4.75
2018-11-26,4.77
2018-11-27,4.78
2018-11-28,4.78
2018-11-29,4.79
2018-11-30,4.83
2018-12-03,4.80
2018-12-04,4.77
2018-12-05,4.77
2018-12-06,4.78
2018-12-07,4.75
2018-12-10,4.77
2018-12-11,4.78
2018-12-12,4.78
2018-12-13,4.76
2018-12-14,4.73
2018-12-17,4.70
2018-12-18,4.68
2018-12-19,4.65
2018-12-20,4.70
2018-12-21,4.72
2018-12-24,4.69
2018-12-25,.
2018-12-26,4.74
2018-12-27,4.70
2018-12-28,4.71
2018-12-31,4.69
2019-01-01,.
2019-01-02,4.67
2019-01-03,4.60
2019-01-04,4.68
2019-01-07,4.69
2019-01-08,4.70
2019-01-09,4.67
2019-01-10,4.67
2019-01-11,4.64
2019-01-14,4.64
2019-01-15,4.64
2019-01-16,4.63
2019-01-17,4.63
2019-01-18,4.63
2019-01-21,4.63
2019-01-22,4.58
2019-01-23,4.57
2019-01-24,4.53
2019-01-25,4.54
2019-01-28,4.53
2019-01-29,4.50
2019-01-30,4.47
2019-01-31,4.40
2019-02-01,4.42
2019-02-04,4.43
2019-02-05,4.39
2019-02-06,4.38
2019-02-07,4.36
2019-02-08,4.35
2019-02-11,4.37
2019-02-12,4.38
2019-02-13,4.40
2019-02-14,4.36
2019-02-15,4.36
2019-02-18,4.36
2019-02-19,4.34
2019-02-20,4.34
2019-02-21,4.37
2019-02-22,4.34
2019-02-25,4.34
2019-02-26,4.31
2019-02-27,4.34
2019-02-28,4.37
2019-03-01,4.39
2019-03-04,4.36
2019-03-05,4.36
2019-03-06,4.34
2019-03-07,4.29
2019-03-08,4.29
2019-03-11,4.30
2019-03-12,4.26
2019-03-13,4.26
2019-03-14,4.26
2019-03-15,4.22
2019-03-18,4.22
2019-03-19,4.22
2019-03-20,4.16
2019-03-21,4.15
2019-03-22,4.07
2019-03-25,4.03
2019-03-26,4.02
2019-03-27,3.99
2019-03-28,4.00
2019-03-29,4.02
2019-03-31,4.05
2019-04-01,4.10
2019-04-02,4.09
2019-04-03,4.10
2019-04-04,4.09
2019-04-05,4.08
2019-04-08,4.08
2019-04-09,4.06
2019-04-10,4.03
2019-04-11,4.04
2019-04-12,4.06
2019-04-15,4.04
2019-04-16,4.07
2019-04-17,4.06
2019-04-18,4.03
2019-04-19,.
2019-04-22,4.06
2019-04-23,4.04
2019-04-24,3.99
2019-04-25,4.00
2019-04-26,3.97
2019-04-29,3.99
2019-04-30,3.98
2019-05-01,3.98
2019-05-02,4.03
2019-05-03,4.02
2019-05-06,4.00
2019-05-07,3.96
2019-05-08,3.99
2019-05-09,3.99
2019-05-10,3.99
2019-05-13,3.96
2019-05-14,3.97
2019-05-15,3.94
2019-05-16,3.96
2019-05-17,3.95
2019-05-20,3.97
